iter	MAPE	RMSE	R2	MAE
305	0.2041639043	250099.2663	0.9698320434	154986.3845
306	0.2037498285	249922.4633	0.9698746816	154757.1279
307	0.2027881889	249667.6468	0.9699360808	154347.0454
308	0.2027833329	249624.7422	0.9699464127	154340.9964
309	0.2024021028	249257.4626	0.9700347849	154007.1953
310	0.2021710256	249003.5021	0.970095815	153800.0157
311	0.202086051	248846.3717	0.9701335444	153703.9097
312	0.2019621196	248366.636	0.9702485888	153493.4238
313	0.2015634996	248037.7314	0.9703273345	153252.4023
314	0.2007747297	247876.3728	0.9703659285	153084.4582
315	0.2007637695	247555.6218	0.9704425716	152899.3635
316	0.2007469078	247482.3465	0.9704600667	152883.6522
317	0.2006748579	247021.7859	0.9705699111	152681.3884
318	0.2006632063	246980.7094	0.970579698	152675.4313
319	0.2003844935	246483.249	0.9706980934	152241.3693
320	0.2001803656	246221.9952	0.9707601761	152124.8533
321	0.1999468068	245855.2268	0.9708472216	151803.9433
322	0.1999982945	245702.2046	0.9708835002	151762.255
323	0.199613676	245437.1976	0.9709462746	151580.9069
324	0.1994945981	245149.2959	0.9710143956	151396.2004
325	0.199445067	244870.8236	0.9710802094	151265.1732
326	0.1993345552	244692.9858	0.9711222002	151239.4616
327	0.1993304187	244653.4887	0.9711315221	151233.7576
328	0.1991769918	244472.4367	0.9711742336	151103.0281
329	0.1990556868	244288.9803	0.9712174801	150954.6078
330	0.1987156118	243823.4771	0.9713270683	150544.5715
331	0.1984395349	243627.6416	0.9713731091	150397.3076
332	0.1984246515	243555.7836	0.9713899937	150385.2214
333	0.198188952	243229.2046	0.9714666674	150194.4726
334	0.1981848014	243191.2824	0.971475564	150188.8881
335	0.1981261308	242944.7713	0.9715333624	150054.0185
336	0.1981000899	242551.8068	0.9716253778	149848.0554
337	0.1980404139	242398.2229	0.9716613	149822.9224
338	0.1979870673	242265.0274	0.9716924352	149748.3708
339	0.1978651345	242033.3306	0.9717465547	149603.7278
340	0.1978637803	241996.722	0.971755101	149598.6582
341	0.1970988648	241772.3947	0.9718074419	149320.2535
342	0.1970886897	241482.7288	0.9718749561	149104.5684
343	0.1970788023	241420.2554	0.9718895065	149096.6845
344	0.1970632953	241356.8217	0.9719042768	149082.2034
345	0.1970014537	241063.5448	0.9719725145	148968.328
346	0.1969360997	240870.5867	0.9720173654	148923.654
347	0.1961561224	240693.38	0.9720585235	148761.6418
348	0.1961607851	240483.7338	0.9721071769	148657.8513
349	0.1961532612	240425.7554	0.9721206247	148652.1813
350	0.1959641967	240144.1337	0.9721858992	148562.9291
351	0.1957420888	239895.5643	0.9722434493	148418.5166
352	0.19571706	239670.1396	0.9722955892	148308.5831
353	0.1956142615	239315.4793	0.9723775217	148129.7777
354	0.1946055932	239101.2288	0.9724269584	147810.0589
355	0.194560298	238871.1414	0.97248	147653.5754
356	0.1942244987	238660.0706	0.9725286129	147383.1718
357	0.1941447274	238503.5328	0.9725646381	147345.4035
358	0.1940225598	238355.7789	0.9725986202	147264.7631
359	0.1938819029	238139.5148	0.9726483211	147151.2953
360	0.1938003576	237804.5381	0.972725215	146971.8536
361	0.1937453869	237722.9569	0.9727439255	146962.0173
362	0.1936901132	237445.5189	0.9728075076	146711.5553
363	0.1937298793	237171.0966	0.9728703255	146622.7916
364	0.1935798447	236835.2487	0.9729471055	146477.7517
365	0.1935643003	236753.1773	0.9729658517	146467.7894
366	0.1935423773	236685.0694	0.9729814035	146458.3125
367	0.1932658619	236419.4307	0.9730420171	146234.5708
368	0.1932176233	236119.3968	0.973110397	146093.3568
369	0.1931398072	235843.9315	0.9731731011	145942.447
370	0.1930663724	235671.7103	0.9732122667	145810.625
371	0.1930608416	235639.003	0.9732197015	145805.3989
372	0.1926206305	235399.1429	0.9732741938	145699.8484
373	0.1926098056	235342.1462	0.9732871344	145694.1626
374	0.1923299639	235089.3985	0.9733444806	145437.017
375	0.1921892548	234792.3953	0.9734117892	145263.8533
376	0.1921522639	234484.5302	0.9734814697	145113.1918
377	0.1920601254	234324.5156	0.9735176503	144993.8954
378	0.1919970947	234064.4644	0.9735763974	144853.9721
379	0.1919955748	233927.5028	0.9736073117	144791.1468
380	0.1920202214	233761.1239	0.9736448415	144725.3451
381	0.1919055628	233523.2214	0.9736984583	144560.722
382	0.1919614984	233358.9826	0.9737354415	144531.6603
383	0.1919425913	233296.9437	0.9737494046	144523.6218
384	0.1917166603	233025.0912	0.9738105467	144395.3993
385	0.1915633239	232861.2301	0.9738473661	144272.9694
386	0.1914389644	232655.9959	0.9738934455	144148.7209
387	0.1911302594	232347.1498	0.9739627113	143985.5786
388	0.1910945878	232285.8042	0.9739764585	143977.8243
389	0.1908311605	232053.7884	0.9740284191	143734.6877
390	0.1907211634	231891.4966	0.974064734	143621.6069
391	0.1905710569	231707.6687	0.9741058371	143534.1925
392	0.1905557594	231651.6014	0.9741183671	143520.1626
393	0.1904630074	231288.9028	0.9741993497	143408.0907
394	0.1904689229	231107.0574	0.9742399041	143277.4723
395	0.1903231893	230893.8728	0.9742874069	143197.3083
396	0.1902827171	230643.1441	0.9743432195	143074.0189
397	0.1903088718	230545.556	0.9743649263	143061.4523
398	0.1901267608	230231.7371	0.9744346678	142853.5864
399	0.1900319142	230081.1769	0.9744680938	142803.62
400	0.1894029244	229881.6663	0.9745123536	142676.6546
401	0.1893626185	229516.0554	0.9745933618	142607.2866
402	0.1893072692	229280.6695	0.9746454479	142524.2351
403	0.1893067045	229250.5606	0.9746521066	142519.8753
404	0.1891162176	229024.5798	0.9747020547	142338.996
405	0.1888648408	228850.2045	0.9747405628	142159.0406
406	0.1887299044	228609.1893	0.9747937391	141997.9255
407	0.1886487518	228461.9883	0.9748261892	141906.4742
408	0.1886709083	228247.7348	0.9748733834	141829.8109
409	0.188655303	228194.7493	0.9748850479	141816.1767
410	0.1885441171	227962.6189	0.9749361181	141671.0777
411	0.1881611347	227787.8423	0.9749745358	141503.5799
412	0.1881458634	227648.0436	0.9750052438	141478.447
413	0.1881233455	227457.9104	0.975046978	141429.8086
414	0.1877691703	227142.1451	0.9751162113	141084.3353
415	0.1877682018	227113.6357	0.9751224574	141080.0317
416	0.1877340105	226796.3366	0.9751919213	140917.3631
417	0.1871661772	226634.3361	0.9752273495	140712.5423
418	0.1870309214	226396.8778	0.9752792338	140540.7715
419	0.186949188	226253.7329	0.9753104846	140527.0811
420	0.1869785453	226062.8168	0.9753521337	140442.6328
421	0.1868576584	225846.2578	0.9753993344	140339.5371
422	0.186818485	225473.416	0.9754804921	140188.2767
423	0.1868000236	225369.376	0.9755031149	140133.7785
424	0.1867959156	225341.9349	0.9755090801	140129.1979
425	0.1866447984	225046.3616	0.9755732858	139931.3658
426	0.1864182408	224899.5709	0.9756051409	139812.6943
427	0.1854624275	224733.6662	0.975641119	139648.2051
428	0.1854888806	224549.9691	0.9756809246	139588.4487
429	0.1854674489	224481.1807	0.9756958221	139579.1482
430	0.1854206553	224295.9546	0.9757359137	139491.7725
431	0.1854089353	224258.702	0.975743973	139484.3621
432	0.185331689	224126.3977	0.9757725848	139377.9459
433	0.1852794705	223972.0015	0.9758059529	139251.1168
434	0.1852784099	223945.5196	0.9758116738	139247.0096
435	0.1852320871	223779.1591	0.9758475976	139145.476
436	0.1851566176	223656.2099	0.9758741301	139007.4106
437	0.1851419677	223590.4552	0.975888314	138995.8011
438	0.1851173994	223508.5378	0.9759059784	138975.6635
439	0.1850348002	223383.5098	0.9759329267	138935.5951
440	0.1845096878	223251.6413	0.975961333	138810.0206
441	0.1845208182	223014.5643	0.9760123606	138709.8466
442	0.1843954016	222870.1898	0.9760434086	138642.7856
443	0.1843954847	222844.3656	0.97604896	138639.0234
444	0.1843264465	222676.6753	0.9760849928	138576.5165
445	0.1843165728	222639.7622	0.9760929209	138569.7433
446	0.1842782764	222402.135	0.9761439265	138456.9635
447	0.1842664412	222338.8638	0.9761574982	138448.8636
448	0.1842521825	222165.2783	0.9761947126	138360.5849
449	0.1841163163	221998.8946	0.9762303556	138247.3771
450	0.1834897442	221888.9367	0.9762538964	138088.3536
451	0.183423635	221664.3721	0.976301937	137920.7372
452	0.183364035	221413.8075	0.9763554823	137855.7835
453	0.1833483319	221217.7941	0.9763973278	137799.1917
454	0.1832855048	221081.4114	0.9764264214	137736.7615
455	0.1831563142	220894.9643	0.9764661657	137574.1786
456	0.183064668	220715.9289	0.9765042986	137412.3133
457	0.1830632342	220617.0699	0.9765253414	137385.5476
458	0.1830061231	220437.0123	0.9765636437	137242.617
459	0.1825963966	220272.043	0.9765987089	137135.5733
460	0.1825322024	220039.4459	0.9766481041	137047.1408
461	0.1825304574	220014.5071	0.9766533972	137043.1207
462	0.1825194624	219981.5578	0.9766603894	137036.094
463	0.1824675896	219902.6622	0.9766771277	137000.9964
464	0.1823614413	219796.5858	0.9766996232	136927.4823
465	0.1823593673	219772.7575	0.976704675	136923.6139
466	0.1818322623	219668.3826	0.9767267966	136820.1228
467	0.1817903741	219507.3126	0.9767609139	136761.7289
468	0.181780319	219459.6779	0.9767709989	136754.6229
469	0.1817045731	219255.7494	0.976814149	136638.9961
470	0.1816666515	219151.238	0.9768362475	136619.9123
471	0.181592829	219030.1183	0.9768618445	136506.333
472	0.1815251093	218867.5335	0.9768961824	136403.2799
473	0.181448689	218697.4091	0.9769320853	136297.1268
474	0.1814355835	218560.968	0.9769608596	136215.2868
475	0.1814579045	218458.2753	0.9769825048	136162.9558
476	0.1814408277	218404.934	0.9769937439	136147.3688
477	0.1810582651	218263.2555	0.9770235823	136029.5619
478	0.1806513851	218120.4536	0.9770536378	135841.2459
479	0.1806809672	218023.4837	0.9770740358	135809.0719
480	0.1806178587	217780.0742	0.977125198	135577.6789
481	0.180584618	217554.7664	0.9771725045	135494.38
482	0.1805217792	217382.3647	0.9772086696	135404.9628
483	0.1804138949	217295.1423	0.9772269555	135324.4554
484	0.1803721399	217165.6136	0.9772540972	135296.2989
485	0.180373141	217142.8222	0.9772588713	135292.9174
486	0.1803763773	217000.8168	0.9772886057	135194.752
487	0.1799918608	216902.975	0.9773090814	135037.2067
488	0.1797109184	216654.084	0.9773611261	134777.4985
489	0.1796919614	216607.5284	0.9773708546	134769.6835
490	0.1795416186	216462.644	0.9774011168	134608.3907
491	0.1795331966	216431.7989	0.9774075568	134602.0535
492	0.179466116	216354.2314	0.9774237479	134571.0177
493	0.1793733253	216253.4248	0.977444781	134466.7874
494	0.1790509893	216073.3478	0.9774823294	134349.1673
495	0.1790319024	215952.9198	0.9775074228	134339.6411
496	0.1790305862	215930.9603	0.9775119969	134335.9661
497	0.1788516545	215680.6191	0.97756411	134182.3695
