iter	Passed	Remaining
799	8211	43108
800	8222	43103
801	8233	43096
802	8260	43173
803	8270	43162
804	8280	43149
805	8290	43137
806	8300	43129
807	8311	43122
808	8321	43111
809	8332	43104
810	8343	43096
811	8353	43084
812	8364	43079
813	8374	43066
814	8385	43057
815	8395	43045
816	8405	43034
817	8415	43022
818	8425	43014
819	8435	43000
820	8445	42986
821	8457	42988
822	8470	42991
823	8482	42991
824	8493	42981
825	8503	42970
826	8513	42956
827	8522	42943
828	8532	42929
829	8542	42918
830	8552	42908
831	8562	42893
832	8571	42880
833	8582	42869
834	8592	42857
835	8603	42851
836	8613	42839
837	8623	42829
838	8634	42822
839	8645	42815
840	8656	42810
841	8667	42804
842	8678	42794
843	8688	42782
844	8698	42773
845	8708	42762
846	8719	42751
847	8729	42743
848	8738	42727
849	8749	42718
850	8759	42704
851	8768	42691
852	8778	42677
853	8788	42664
854	8797	42650
855	8807	42638
856	8817	42626
857	8827	42613
858	8837	42602
859	8847	42589
860	8857	42578
861	8866	42563
862	8876	42553
863	8887	42543
864	8897	42535
865	8920	42582
866	8930	42574
867	8941	42563
868	8951	42552
869	8961	42542
870	8971	42528
871	8981	42517
872	8991	42504
873	9001	42493
874	9010	42479
875	9022	42476
876	9034	42475
877	9045	42465
878	9055	42453
879	9065	42442
880	9075	42432
881	9085	42421
882	9095	42405
883	9105	42396
884	9116	42387
885	9125	42374
886	9136	42365
887	9145	42350
888	9156	42344
889	9167	42333
890	9178	42326
891	9188	42314
892	9197	42302
893	9207	42288
894	9217	42276
895	9227	42263
896	9237	42252
897	9247	42239
898	9257	42228
899	9269	42226
900	9279	42215
901	9289	42203
902	9299	42191
903	9309	42180
904	9319	42168
905	9329	42155
906	9338	42142
907	9349	42133
908	9358	42116
909	9368	42104
910	9378	42095
911	9388	42085
912	9397	42069
913	9408	42058
914	9417	42046
915	9428	42034
916	9437	42022
917	9447	42009
918	9457	41998
919	9468	41990
920	9478	41978
921	9488	41965
922	9497	41952
923	9507	41940
924	9517	41928
925	9528	41920
926	9538	41911
927	9549	41902
928	9560	41894
929	9570	41882
930	9580	41872
931	9591	41866
932	9602	41858
933	9613	41849
934	9622	41836
935	9633	41826
936	9644	41818
937	9655	41813
938	9665	41800
939	9676	41792
940	9685	41780
941	9696	41772
942	9708	41766
943	9718	41756
944	9729	41748
945	9739	41739
946	9750	41730
947	9760	41720
948	9772	41714
949	9782	41704
950	9792	41693
951	9803	41685
952	9813	41674
953	9824	41664
954	9834	41655
955	9844	41643
956	9855	41635
957	9865	41626
958	9876	41616
959	9886	41607
960	9898	41601
961	9908	41589
962	9918	41580
963	9930	41575
964	9940	41564
965	9950	41554
966	9960	41543
967	9970	41531
968	9980	41519
969	9992	41514
970	10002	41502
971	10012	41493
972	10022	41480
973	10032	41469
974	10042	41456
975	10051	41441
976	10062	41435
977	10073	41428
978	10083	41415
979	10093	41405
980	10103	41393
981	10114	41384
982	10125	41379
983	10137	41372
984	10146	41358
985	10156	41346
986	10165	41331
987	10174	41314
988	10183	41299
989	10192	41285
990	10203	41275
991	10213	41264
992	10222	41249
993	10232	41236
994	10241	41224
995	10250	41209
996	10260	41197
997	10270	41184
998	10280	41173
999	10289	41159
1000	10300	41149
1001	10309	41137
1002	10319	41124
1003	10330	41116
1004	10340	41105
1005	10350	41094
1006	10360	41081
1007	10370	41071
1008	10380	41060
1009	10391	41052
1010	10401	41039
1011	10411	41027
1012	10422	41020
1013	10432	41011
1014	10443	41002
1015	10453	40990
1016	10462	40977
1017	10472	40964
1018	10482	40953
1019	10492	40940
1020	10501	40927
1021	10512	40918
1022	10521	40905
1023	10531	40892
1024	10542	40882
1025	10552	40871
1026	10562	40863
1027	10572	40851
1028	10582	40837
1029	10592	40825
1030	10602	40815
1031	10612	40803
1032	10621	40790
1033	10631	40779
1034	10642	40769
1035	10651	40754
1036	10661	40744
1037	10671	40734
1038	10681	40720
1039	10691	40708
1040	10701	40697
1041	10711	40686
1042	10721	40676
1043	10731	40665
1044	10741	40653
1045	10752	40645
1046	10762	40635
1047	10773	40625
1048	10784	40619
1049	10794	40608
1050	10806	40602
1051	10817	40594
1052	10827	40583
1053	10838	40576
1054	10849	40570
1055	10859	40559
1056	10870	40551
1057	10882	40547
1058	10892	40537
1059	10904	40530
1060	10915	40522
1061	10926	40515
1062	10938	40511
1063	10948	40500
1064	10959	40492
1065	10969	40483
1066	10978	40468
1067	10988	40456
1068	10998	40443
1069	11007	40430
1070	11017	40419
1071	11028	40408
1072	11037	40395
1073	11046	40381
1074	11056	40368
1075	11066	40359
1076	11078	40354
1077	11090	40349
1078	11102	40344
1079	11112	40333
1080	11122	40322
1081	11131	40309
1082	11141	40298
1083	11152	40287
1084	11162	40279
1085	11172	40266
1086	11182	40255
1087	11192	40245
1088	11202	40232
1089	11212	40219
1090	11223	40212
1091	11232	40197
1092	11242	40186
1093	11252	40175
1094	11262	40164
1095	11271	40150
1096	11281	40138
